path,loc,dup_lines,dup_pct,owner
backend/services/org-service/src/main/java/com/hirepath/org/domain/RoleMapping.java,65,32,49,Ravi-Shankar-ACS
backend/services/procurement-service/src/main/java/com/fawnix/procurement/domain/PurchaseRequisitionDocument.java,96,32,33,Chaitanya2872
backend/services/procurement-service/src/main/java/com/fawnix/procurement/domain/VendorAddress.java,151,32,21,Chaitanya2872
backend/services/procurement-service/src/main/java/com/fawnix/procurement/domain/VendorDocument.java,85,32,38,Chaitanya2872
backend/services/crm-service/src/main/java/com/fawnix/crm/accounts/entity/AccountEntity.java,101,31,31,Chaitanya2872
backend/services/crm-service/src/main/java/com/fawnix/crm/deals/entity/DealEntity.java,157,31,20,Chaitanya2872
backend/services/forms-service/src/main/java/com/hirepath/forms/domain/ApplicationFormField.java,137,31,23,Ravi-Shankar-ACS
backend/services/forms-service/src/main/java/com/hirepath/forms/security/config/SecurityConfig.java,53,31,58,Ravi-Shankar-ACS
backend/services/integration-service/src/main/java/com/hirepath/integration/security/config/SecurityConfig.java,54,31,57,Ravi-Shankar-ACS
backend/services/procurement-service/src/main/java/com/fawnix/procurement/SecurityConfig.java,47,31,66,Chaitanya2872
backend/services/project-service/src/main/java/com/fawnix/project/SecurityConfig.java,47,31,66,Chaitanya2872
backend/services/recruitment-service/src/main/java/com/hirepath/recruitment/security/config/SecurityConfig.java,54,31,57,Ravi-Shankar-ACS
backend/services/sales-service/src/main/java/com/fawnix/sales/SecurityConfig.java,47,31,66,Chaitanya2872
backend/services/task-service/src/main/java/com/hirepath/task/SecurityConfig.java,47,31,66,Chaitanya2872
backend/services/identity-service/src/main/java/com/fawnix/identity/users/service/UserService.java,363,30,8,Chaitanya2872
backend/services/inventory-service/src/main/java/com/fawnix/inventory/SecurityConfig.java,52,30,58,Chaitanya2872
backend/services/procurement-service/src/main/java/com/fawnix/procurement/security/jwt/ServiceJwtProvider.java,54,30,56,Chaitanya2872
backend/services/task-service/src/main/java/com/hirepath/task/tasks/domain/TaskEntity.java,454,30,7,Chaitanya2872
src/modules/inventory/warehouses-page.tsx,754,30,4,Vaishnavi Nerella
backend/services/forms-service/src/main/java/com/hirepath/forms/security/jwt/ServiceJwtProvider.java,52,29,56,Ravi-Shankar-ACS
backend/services/notifications-service/src/main/java/com/hirepath/notifications/dto/PreferenceItemRequest.java,49,29,59,Ravi-Shankar-ACS
backend/services/recruitment-service/src/main/java/com/hirepath/recruitment/domain/ApplicationDecision.java,112,29,26,Ravi-Shankar-ACS
backend/services/recruitment-service/src/main/java/com/hirepath/recruitment/domain/Offer.java,224,29,13,Ravi-Shankar-ACS
backend/services/recruitment-service/src/main/java/com/hirepath/recruitment/dto/DecisionCreateRequest.java,49,29,59,Ravi-Shankar-ACS
backend/services/recruitment-service/src/main/java/com/hirepath/recruitment/security/jwt/ServiceJwtProvider.java,52,29,56,Ravi-Shankar-ACS
src/modules/inventory/page.tsx,1212,29,2,Chaitanya2872
backend/services/integration-service/src/main/java/com/hirepath/integration/domain/CalendarConnection.java,126,28,22,Ravi-Shankar-ACS
backend/services/inventory-service/src/main/java/com/fawnix/inventory/transactions/entity/StockTransactionEntity.java,166,28,17,Chaitanya2872
backend/services/org-service/src/main/java/com/hirepath/org/domain/Vacancy.java,99,28,28,Ravi-Shankar-ACS
backend/services/recruitment-service/src/main/java/com/hirepath/recruitment/domain/Approval.java,113,28,25,Ravi-Shankar-ACS
backend/services/recruitment-service/src/main/java/com/hirepath/recruitment/domain/OfferApproval.java,93,28,30,Ravi-Shankar-ACS
src/modules/visitor management/pages/VisitorDetails/VisitorDetails.tsx,298,28,9,Vaishnavi Nerella
backend/services/analytics-service/src/main/java/com/hirepath/analytics/security/filter/InternalServiceAuthFilter.java,45,27,60,Ravi-Shankar-ACS
backend/services/approval-service/src/main/java/com/hirepath/approval/security/filter/InternalServiceAuthFilter.java,45,27,60,Ravi-Shankar-ACS
backend/services/forms-service/src/main/java/com/hirepath/forms/security/filter/InternalServiceAuthFilter.java,45,27,60,Ravi-Shankar-ACS
backend/services/integration-service/src/main/java/com/hirepath/integration/security/filter/InternalServiceAuthFilter.java,45,27,60,Ravi-Shankar-ACS
backend/services/inventory-service/src/main/java/com/fawnix/inventory/security/filter/InternalServiceAuthFilter.java,45,27,60,Chaitanya2872
backend/services/notifications-service/src/main/java/com/hirepath/notifications/security/filter/InternalServiceAuthFilter.java,45,27,60,Ravi-Shankar-ACS
backend/services/org-service/src/main/java/com/hirepath/org/security/filter/InternalServiceAuthFilter.java,45,27,60,Ravi-Shankar-ACS
backend/services/recruitment-service/src/main/java/com/hirepath/recruitment/security/filter/InternalServiceAuthFilter.java,45,27,60,Ravi-Shankar-ACS
backend/src/main/java/com/fawnix/verse/remarks/service/LeadRemarkService.java,67,27,40,Chaitanya2872
backend/services/forms-service/src/main/java/com/hirepath/forms/dto/CollectionCreateRequest.java,55,26,47,Ravi-Shankar-ACS
